"item_description","sales","transaction_frequency","share_sales","cumulative_sales","cumulative_frequency","sales_category","frequency_category","combined_category","sales_x_frequency"
"christian bros holiday nog","6.71","30","7.77542625467554e-06","99.99590021822019","10431559","C","Z","CZ","1043113132.8844768"
"christian brothers holiday nog","6.71","1","7.77542625467554e-06","99.99590021822019","10431559","C","Z","CZ","1043113132.8844768"
"ryans cream liqueur","6.72","25","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"windsor canadian","6.72","1","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts raspberry","6.72","75","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts grape","6.72","32","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts mango pineapple","6.72","99","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts raspberry vodka","6.72","55","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts limeade vodka","6.72","26","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts cherry","6.72","57","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts strawberry banana","6.72","99","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts tropical punch","6.72","88","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts cherry vodka","6.72","48","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts citrus","6.72","59","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts vodka 80 prf","6.72","72","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts blue raspberry","6.72","58","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts limeade","6.72","56","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts blue raspberry vodka","6.72","60","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts grape vodka","6.72","18","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts fruit punch","6.72","87","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts vodka 80prf","6.72","111","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts pineapple","6.72","93","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"burnetts watermelon","6.72","76","7.787014073236905e-06","99.99587689194142","10431508","C","Z","CZ","1043107789.7653021"
"hiram walker orange curacao","6.74","31","7.810189710359634e-06","99.99571336464595","10430213","C","Z","CZ","1042976589.480204"
"blue ox gin","6.74","8","7.810189710359634e-06","99.99571336464595","10430213","C","Z","CZ","1042976589.480204"
"burnetts citrus","6.75","65","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"fireball cinnamon","6.75","30","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts strawberry banana","6.75","145","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts blue raspberry","6.75","79","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"bacardi superior rum","6.75","1193","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"ciroc french vanilla","6.75","23","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts watermelon","6.75","95","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh mothers schnapps cherry","6.75","6","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh burnetts peach","6.75","28","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh burnetts strawberry","6.75","7","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh burnetts pink lemonade","6.75","38","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"state vodka","6.75","7","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"kapali coffee liqueur","6.75","35","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"popov vodka 80 prf","6.75","56","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"mr boston blackberry brandy","6.75","143","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"lauders","6.75","15","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"lauders pet","6.75","2","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"miles london dry gin","6.75","41","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"mr boston blue curacao","6.75","28","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"popov 80prf pet","6.75","55","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh burnetts mango","6.75","28","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"popov vodka 80 prf traveler","6.75","18","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"grey goose","6.75","101","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"bakon sports box bloody mary kit","6.75","1","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts tropical punch disco","6.75","1","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"evan williams egg nog","6.75","5","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"chichis peach margarita","6.75","7","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts cherry","6.75","109","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts grape","6.75","55","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts raspberry","6.75","170","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"e & j xo","6.75","9","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"mr boston apricot brandy","6.75","147","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"popov 80prf","6.75","125","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"bacardi limon","6.75","308","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"e & j xo brandy","6.75","1","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"canadian club whisky","6.75","140","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"ice box mudslide","6.75","5","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"dekuyper blackberry brandy","6.75","231","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"fireball cinnamon whiskey","6.75","51","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"bacardi gold rum","6.75","325","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts tropical punch","6.75","49","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts pineapple","6.75","96","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts limeade","6.75","101","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts mango pineapple","6.75","140","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"christian bros holiday nog","6.75","6","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"sooh jose cuervo especial gold flask","6.75","5","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"paramount long island iced tea","6.75","74","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"hawkeye canadian whisky","6.75","11","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts vodka 80prf","6.75","178","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"burnetts fruit punch","6.75","74","7.821777528920998e-06","99.99569774426652","10430174","C","Z","CZ","1042972526.7241074"
"arrow peppermint schnapps","6.78","586","7.856540984605092e-06","99.99530665539004","10425512","C","Z","CZ","1042502269.4794487"
"barton vodka","6.8","337","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"five oclock vodka","6.8","565","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"mccormick 80prf vodka","6.8","222","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"mccormick vodka","6.8","158","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"mccormick peach vodka","6.8","83","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"mccormick apple vodka","6.8","73","7.87971662172782e-06","99.99529879884905","10424926","C","Z","CZ","1042443590.3258902"
"maui blue hawaiian schnapps","6.81","414","7.891304440289186e-06","99.99525152054933","10423488","C","Z","CZ","1042299304.2814277"
"lauders pet","6.83","1","7.914480077411914e-06","99.9952436292449","10423074","C","Z","CZ","1042257823.9956481"
"arrow peppermint schnapps mini","6.83","2838","7.914480077411914e-06","99.9952436292449","10423074","C","Z","CZ","1042257823.9956481"
"lauders","6.83","6","7.914480077411914e-06","99.9952436292449","10423074","C","Z","CZ","1042257823.9956481"
"calypso spiced rum mini","6.84","6","7.926067895973278e-06","99.99521988580466","10420229","C","Z","CZ","1041973090.1154383"
"paramount peppermint schnapps","6.84","832","7.926067895973278e-06","99.99521988580466","10420229","C","Z","CZ","1041973090.1154383"
"arrow super cinnamon schnapps mini","6.84","31","7.926067895973278e-06","99.99521988580466","10420229","C","Z","CZ","1041973090.1154383"
"natural light lemonade vodka mini","6.9","49","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"natural light black cherry lemonade vodka mini","6.9","51","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams extra smooth vodka mini","6.9","889","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"uv blue raspberry mini","6.9","1195","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"prairie organic watermelon cucumber lime fl vodka mini","6.9","47","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"prairie organic grapefruit hibiscus chamomile fl vodka mini","6.9","22","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"revel stoke peanut butter whisky mini","6.9","414","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"revel stoke cherry mini","6.9","93","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams tropical pineapple vodka mini","6.9","186","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams tropical pineapple mini","6.9","14","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"natural light strawberry lemonade vodka mini","6.9","52","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams juicy watermelon vodka mini","6.9","184","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"revel stoke blackberry mini","6.9","161","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"uv red cherry mini","6.9","715","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"revel stoke peach mini","6.9","200","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"jose cuervo authentic mango margarita","6.9","61","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"uv cake mini","6.9","1149","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams mango pineapple vodka mini","6.9","71","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"prairie organic apple pear ginger fl vodka mini","6.9","41","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"jose cuervo authentic white peach light margarita","6.9","55","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"jose cuervo authentic watermelon margarita","6.9","77","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams strawberry lemonade vodka mini","6.9","68","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"revel stoke roasted pecan mini","6.9","152","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"seagrams lime vodka mini","6.9","141","7.995594807341465e-06","99.99519610760098","10419360","C","Z","CZ","1041885946.5156933"
"hawkeye vodka","6.92","307","8.018770444464195e-06","99.99500421332544","10413273","C","Z","CZ","1041275277.5095081"
"state vodka mini","6.92","3","8.018770444464195e-06","99.99500421332544","10413273","C","Z","CZ","1041275277.5095081"
"new amsterdam pink whitney mini","6.92","957","8.018770444464195e-06","99.99500421332544","10413273","C","Z","CZ","1041275277.5095081"
"jose cuervo authentic lime margarita","6.93","427","8.030358263025559e-06","99.99498015701411","10412006","C","Z","CZ","1041148333.3647119"
"state vodka mini","6.93","4","8.030358263025559e-06","99.99498015701411","10412006","C","Z","CZ","1041148333.3647119"
"jose cuervo authentic strawberry margarita","6.93","220","8.030358263025559e-06","99.99498015701411","10412006","C","Z","CZ","1041148333.3647119"
"jameson mini","6.94","15","8.041946081586922e-06","99.99495606593933","10411355","C","Z","CZ","1041082985.8118979"
"jameson original 50ml","6.94","7","8.041946081586922e-06","99.99495606593933","10411355","C","Z","CZ","1041082985.8118979"
"remy martin v","6.95","113","8.053533900148286e-06","99.99493998204716","10411333","C","Z","CZ","1041080618.468107"
"jose cuervo authentic pink lemonade margarita","6.96","54","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"jose cuervo grapefruit tangerine","6.96","43","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"lauders","6.96","4","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"jose cuervo authentic lime light","6.96","35","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"jose cuervo authentic pink lemonade","6.96","3","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"lauders pet","6.96","4","8.065121718709652e-06","99.99493192851325","10411220","C","Z","CZ","1041069235.1927757"
"blue ox silver rum","6.98","3","8.08829735583238e-06","99.99488353778294","10411077","C","Z","CZ","1041054432.1178906"
"rebel yell kentucky straight bourbon mini","6.99","34","8.099885174393746e-06","99.99487544948559","10411074","C","Z","CZ","1041054047.9253777"
"montezuma blue","6.99","23","8.099885174393746e-06","99.99487544948559","10411074","C","Z","CZ","1041054047.9253777"
"rebel yell ginger whiskey mini","6.99","10","8.099885174393746e-06","99.99487544948559","10411074","C","Z","CZ","1041054047.9253777"
"rebel yell root beer whiskey mini","6.99","20","8.099885174393746e-06","99.99487544948559","10411074","C","Z","CZ","1041054047.9253777"
"dekuyper triple sec","7","418","8.11147299295511e-06","99.99484304994488","10410987","C","Z","CZ","1041045011.0600165"
"jack daniels old #7 black label","7","4","8.11147299295511e-06","99.99484304994488","10410987","C","Z","CZ","1041045011.0600165"
"dekuyper triple sec 30 pet","7","8","8.11147299295511e-06","99.99484304994488","10410987","C","Z","CZ","1041045011.0600165"
"windsor canadian traveler","7.01","27","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"rondiaz rum spiced black cherry mini","7.01","30","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"rondiaz spiced apple mini","7.01","44","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"windsor canadian outdoors edition whisky","7.01","2","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"windsor canadian","7.01","222","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"rondiaz mini","7.01","11","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"windsor canadian pet","7.01","65","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"grays peak vodka mini","7.01","12","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"grey goose","7.01","408","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"rondiaz rum spiced apple mini","7.01","25","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"lord calvert spiced peach whisky mini","7.01","10","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"ezra brooks bourbon cream mini","7.01","72","8.123060811516474e-06","99.9948187155259","10410557","C","Z","CZ","1041001759.9426491"
"black velvet","7.02","880","8.134648630077838e-06","99.99472123879619","10409629","C","Z","CZ","1040907950.0542887"
"beams 8 star bl whiskey","7.04","80","8.157824267200567e-06","99.99471310414756","10408749","C","Z","CZ","1040819870.0280828"
"bourbon supreme bourbon","7.05","203","8.169412085761931e-06","99.9947049463233","10408669","C","Z","CZ","1040811785.538942"
"mccormick 80prf vodka mini","7.05","1785","8.169412085761931e-06","99.9947049463233","10408669","C","Z","CZ","1040811785.538942"
"mccormick vodka mini","7.05","1465","8.169412085761931e-06","99.9947049463233","10408669","C","Z","CZ","1040811785.538942"
"uncle bobs root beer mini","7.05","9","8.169412085761931e-06","99.9947049463233","10408669","C","Z","CZ","1040811785.538942"
"crown royal regal apple","7.08","452","8.204175541446025e-06","99.99467226867496","10405207","C","Z","CZ","1040465263.8527225"
"gilbeys gin","7.08","9","8.204175541446025e-06","99.99467226867496","10405207","C","Z","CZ","1040465263.8527225"
"courvoisier vs cognac","7.08","63","8.204175541446025e-06","99.99467226867496","10405207","C","Z","CZ","1040465263.8527225"
"gilbeys gin london dry","7.08","85","8.204175541446025e-06","99.99467226867496","10405207","C","Z","CZ","1040465263.8527225"
"crown royal vanilla","7.08","250","8.204175541446025e-06","99.99467226867496","10405207","C","Z","CZ","1040465263.8527225"
"arrow peach schnapps","7.11","260","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow sloe gin","7.11","47","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow creme de menthe white","7.11","252","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow creme de cacao white","7.11","237","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow creme de menthe green","7.11","330","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow raspberry schnapps","7.11","272","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow mcdales butterscotch schnapps","7.11","312","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails cruzan mai tai","7.11","6","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow anisette","7.11","69","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"arrow creme de almond","7.11","377","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails effen cosmopolitan","7.11","7","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails knob creek bourbon old fashioned","7.11","9","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails tres gen jalapeno pineapple margarita","7.11","8","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails larios aviation","7.11","8","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"on the rocks cocktails hornitos margarita","7.11","3","8.238938997130119e-06","99.99463124779724","10404348","C","Z","CZ","1040378941.6337568"
"smirnoff 80prf","7.13","645","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff raspberry","7.13","48","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff vanilla","7.13","12","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff watermelon","7.13","31","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff strawberry","7.13","22","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff green apple","7.13","24","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff citrus","7.13","19","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff orange","7.13","27","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff 100prf","7.13","8","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"smirnoff kissed caramel","7.13","23","8.262114634252847e-06","99.9945076637122","10402151","C","Z","CZ","1040157967.8885915"
"hartley","7.14","1","8.273702452814212e-06","99.99442504256587","10401292","C","Z","CZ","1040071213.23984"
"phillips blackberry brandy","7.14","143","8.273702452814212e-06","99.99442504256587","10401292","C","Z","CZ","1040071213.23984"
"99 peppermint","7.1499999999999995","9","8.285290271375576e-06","99.99440849516097","10401148","C","Z","CZ","1040056641.9306265"
"99 cinnamon","7.1499999999999995","14","8.285290271375576e-06","99.99440849516097","10401148","C","Z","CZ","1040056641.9306265"
"99 grape","7.1499999999999995","1","8.285290271375576e-06","99.99440849516097","10401148","C","Z","CZ","1040056641.9306265"
"99 grapes","7.1499999999999995","15","8.285290271375576e-06","99.99440849516097","10401148","C","Z","CZ","1040056641.9306265"
"99 mangoes","7.1499999999999995","12","8.285290271375576e-06","99.99440849516097","10401148","C","Z","CZ","1040056641.9306265"
"southern comfort","7.17","855","8.308465908498304e-06","99.99436706870958","10401097","C","Z","CZ","1040051111.335254"
"captain morgan sliced apple mini","7.2","649","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"captain morgan original spiced mini","7.2","5752","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"captain morgan spiced rum mini","7.2","4440","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"captain morgan pineapple mini","7.2","89","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"lauders pet","7.2","5","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"lauders","7.2","22","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"lauders scotch","7.2","43","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"lauders scotch traveler","7.2","8","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"sailor jerry spiced navy rum","7.2","348","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"five oclock gin","7.2","181","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"captain morgan white mini","7.2","175","8.343229364182398e-06","99.99435876024367","10400242","C","Z","CZ","1039965529.7413541"
"western son blueberry vodka mini","7.25","164","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son original mini","7.25","17","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son lime vodka mini","7.25","77","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son prickly pear mini","7.25","199","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son original vodka mini","7.25","49","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son lime mini","7.25","118","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son watermelon mini","7.25","184","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son raspberry vodka mini","7.25","26","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son prickly pear vodka mini","7.25","181","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son watermelon vodka mini","7.25","174","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son cucumber vodka mini","7.25","28","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son cucumber mini","7.25","76","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"western son blueberry mini","7.25","182","8.401168456989221e-06","99.99426698472062","10388530","C","Z","CZ","1038793442.3987797"
"kinky mini","7.26","2077","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky green liqueur mini","7.26","654","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"deep eddy lemon mini","7.26","461","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky blue mini","7.26","5661","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky ruby mini","7.26","503","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"juarez triple sec","7.26","453","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"deep eddy cranberry mini","7.26","392","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky green mini","7.26","2276","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky aloha mini","7.26","1973","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky liqueur mini","7.26","1502","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky red mini","7.26","2566","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky red liqueur mini","7.26","495","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky liqueur aloha mini","7.26","301","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky pink mini","7.26","4098","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"deep eddy ruby red mini","7.26","369","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
"kinky ruby liqueur mini","7.26","130","8.412756275550585e-06","99.99415776953067","10387055","C","Z","CZ","1038644816.4307925"
